Gene	AMLstat	factor1	factor2	alpha	ProbStat	ProbFactor	ProbAlpha	CMATstat	AMLpvalue	Probpvalue	CMATpvalue	NumValidSNPs	NumIndepSNPs	TotalRareAlleles
ANGPT2	3.87915	2.66568	0.001	0.2	6.63762	2.82012	1	6.63762	0.0062	0.0062	0.0062	4	2	10
CMTM8	3.13652	3.06972	0.001	0.2	4.40186	2.93758	1	4.40186	0.0062	0.0062	0.0062	33	1	6
C8orf34	3.36824	2.01384	0.001	0.2	8.11948	2.26248	1	8.11948	0.0073	0.0181	0.0164	63	6	18
ARL13A	1.97128	2.26473	0.001	0.2	3.86597	1.39853	1	3.86597	0.0088	0.0086	0.0089	3	2	18
PRKACG	2.01923	-2.65232	0.001	0.2	5.6741	-5	1	5.6741	0.009	0.0033	0.0033	1	1	15
TJP2	1.75026	-2.53419	0.001	0.2	4.20911	-2.17395	1	4.20911	0.0091	0.0052	0.0052	21	1	18
COMT	3.23648	2.14665	0.001	0.2	4.84566	1.26694	1	4.84566	0.0092	0.0162	0.0131	28	4	26
RORA	3.44903	1.83318	0.001	0.2	7.93409	1.98791	1	7.93409	0.0093	0.0145	0.0107	66	6	19
ZNF286B	2.48694	2.62435	0.001	0.2	3.43131	5	0.497123	2.80781	0.0094	0.0287	0.0652	5	2	23
ARVCF	3.12243	2.30385	0.001	0.2	5.64237	5	0.639758	6.5352	0.0094	0.0098	0.0041	20	3	12
FAM129A	2.06472	2.36847	0.001	0.2	5.34804	5	1	5.34804	0.0094	0.0094	0.0094	18	2	6
MMP25	1.95743	2.18749	0.001	0.2	3.84892	1.08214	1	3.84892	0.01	0.0115	0.0114	3	2	28
MMD2	1.61407	-2.47023	0.001	0.2	4.87982	-5	1	4.87982	0.0102	0.0077	0.0077	9	1	14
STK32B	4.07967	2.42554	0.001	0.2	5.37444	2.61639	0.411338	4.01722	0.011	0.0495	0.0752	89	7	47
PACSIN1	1.67442	2.10568	0.001	0.2	3.0349	1.66124	1	3.0349	0.0113	0.0385	0.0429	10	3	10
FXN	1.85293	-2.58045	0.001	0.2	4.14309	-1.7108	1	4.14309	0.0116	0.0072	0.0072	9	1	24
FBLIM1	1.90909	2.69617	0.001	0.2	2.41317	1.80186	0.72631	2.33015	0.0124	0.0568	0.0575	4	2	9
ZNF286A	1.59074	2.45895	0.001	0.2	2.90474	0.763327	1	2.90474	0.0134	0.0216	0.0216	3	1	42
PFKP	2.17163	2.57434	0.001	0.2	3.96735	1.17002	1	3.96735	0.0139	0.0204	0.0203	28	2	25
KLF5	1.87532	1.70099	0.001	0.2	6.15739	5	1	6.15739	0.0141	0.0141	0.0141	12	4	6
KCNN3	2.25281	1.48868	0.001	0.2	6.66305	2.30164	1	6.66305	0.0145	0.0054	0.0049	26	7	13
AFF3	2.32514	1.81056	0.001	0.2	4.64345	5	0.535027	3.8175	0.0146	0.0556	0.078	58	8	14
GSTM3	2.07533	2.34677	0.001	0.2	5.04153	5	1	5.04153	0.0151	0.0151	0.0151	15	2	5
ZZEF1	2.68494	1.96894	0.001	0.2	5.19968	1.49544	1	5.19968	0.0156	0.0183	0.0168	25	4	21
LILRA3	1.42729	2.3768	0.001	0.2	2.70328	0.709834	1	2.70328	0.0159	0.0243	0.0252	2	1	48
PHYH	1.96653	2.16192	0.001	0.2	5.02201	5	1	5.02201	0.0162	0.0162	0.0162	10	2	5
ASPH	2.20105	1.91617	0.001	0.2	5.22224	1.94515	1	5.22224	0.0175	0.0268	0.0243	20	4	13
VCL	1.87018	1.88511	0.001	0.2	6.06456	5	1	6.06456	0.0175	0.0175	0.0175	9	3	7
STAB1	1.91448	1.97936	0.001	0.2	6.70445	5	1	6.70445	0.0175	0.0175	0.0175	10	3	5
CEACAM6	1.26427	2.28848	0.001	0.2	2.69565	1.62638	1	2.69565	0.0183	0.0183	0.0183	7	1	10
UGGT2	2.07901	1.96041	0.001	0.2	4.36529	2.03833	1	4.36529	0.0186	0.03	0.0291	15	3	10
CACNA2D3	2.05978	1.29101	0.001	0.2	5.71741	1.67578	1	5.71741	0.0189	0.0124	0.0107	65	14	19
ZMIZ1	2.28594	-1.22223	0.001	0.2	12.8047	-3.03924	1	12.8047	0.01925	0.000325	0.00025	40	15	39
ZNF846	1.61477	2.47057	0.001	0.2	2.99088	1.76688	1	2.99088	0.0193	0.032	0.032	4	1	9
PRKCI	2.25556	1.94671	0.001	0.2	4.68266	1.70549	1	4.68266	0.0194	0.0229	0.0337	41	4	14
MTHFD2L	1.57734	-2.01742	0.001	0.2	5.48394	-2.37112	1	5.48394	0.0195	0.0064	0.0062	17	4	20
GAREM1	1.59753	1.39618	0.001	0.2	3.99861	1.68827	1	3.99861	0.02	0.0275	0.0252	36	7	13
KCNMA1	1.35535	1.4604	0.001	0.2	3.68488	1.94136	1	3.68488	0.0204	0.0558	0.0455	21	5	9
ESR1	1.95551	1.23144	0.001	0.2	3.91205	0.927727	1	3.91205	0.0211	0.0342	0.0275	94	23	40
ICA1	0.916073	2.06918	0.001	0.2	1.82385	1.29601	1	1.82385	0.0215	0.0819	0.0829	28	1	10
HNRNPCL2	1.45012	-2.38862	0.001	0.2	3.07719	-0.738328	1	3.07719	0.0219	0.0147	0.0161	1	1	63
SPTB	1.86166	2.1979	0.001	0.2	4.20938	2.83687	1	4.20938	0.0221	0.0221	0.0221	2	2	5
FLNC	1.56627	2.226	0.001	0.2	2.58993	5	0.491872	2.06695	0.0223	0.0672	0.0925	25	2	17
TRIM32	1.55611	2.44201	0.001	0.2	2.7682	1.12398	1	2.7682	0.0225	0.0192	0.0143	3	1	19
CRISPLD2	1.66526	2.49465	0.001	0.2	3.00705	2.25653	1	3.00705	0.0225	0.0203	0.0225	23	1	6
ERC2	1.50265	1.7002	0.001	0.2	2.67587	0.72357	1	2.67587	0.0228	0.0396	0.0373	22	6	47
XDH	2.00345	2.73572	0.001	0.2	2.14525	1.34197	1	2.14525	0.0234	0.1946	0.1946	44	3	11
PTGER3	1.27501	2.14555	0.001	0.2	2.6221	5	0.57442	1.47391	0.0243	0.0367	0.295	7	3	6
TANGO2	1.31328	1.6637	0.001	0.2	2.68042	5	0.623296	2.0941	0.0251	0.0977	0.0505	12	3	34
MFHAS1	1.81048	1.94122	0.001	0.2	3.41241	1.2406	1	3.41241	0.0256	0.0667	0.0668	24	3	19
BRCA2	2.93615	1.4427	0.001	0.2	4.60774	0.844672	1	4.60774	0.026	0.042	0.0343	156	28	55
RMND1	1.20195	1.66201	0.001	0.2	2.87091	5	0.697289	2.64381	0.026	0.026	0.026	19	4	5
DRAM1	2.00852	2.22353	0.001	0.2	3.82174	1.92132	1	3.82174	0.0263	0.1049	0.139	13	3	10
TMEM128	1.84308	2.11679	0.001	0.2	3.57337	1.9066	1	3.57337	0.0268	0.1199	0.1115	5	2	9
CA6	1.82024	2.06567	0.001	0.2	3.90737	1.77088	1	3.90737	0.0272	0.1006	0.0908	8	2	12
PIP5K1B	1.96672	-1.75931	0.001	0.2	9.7627	-5	1	9.7627	0.02725	0.00055	0.00055	34	6	25
"ANGPT2,MCPH1"	1.38371	2.35387	0.001	0.2	2.5592	1.61393	1	2.5592	0.0274	0.0492	0.06	18	1	9
ZNF229	1.21223	2.36871	0.001	0.2	2.16007	5	0.495771	1.69342	0.0287	0.1081	0.1081	5	2	5
AEBP2	1.42611	1.8719	0.001	0.2	2.1698	0.735402	1	2.1698	0.029	0.0753	0.0968	8	4	33
MCPH1	2.03651	1.79394	0.001	0.2	4.11073	0.794375	1	4.11073	0.0294	0.0234	0.0198	50	4	56
LRGUK	1.40914	2.43416	0.001	0.2	2.43809	1.21528	1	2.43809	0.0295	0.0699	0.0608	13	3	14
RNF2	1.56303	2.01455	0.001	0.2	4.87786	5	1	4.87786	0.0296	0.0296	0.0296	2	2	6
KRT6A	1.34822	1.72328	0.001	0.2	2.82573	1.32697	1	2.82573	0.0297	0.0975	0.0929	12	4	14
MGAT4C	2.19359	1.66257	0.001	0.2	3.18494	1.48091	0.621167	2.68181	0.0299	0.0581	0.0584	43	10	44
IL17RA	1.66271	1.73328	0.001	0.2	4.35992	1.23787	1	4.35992	0.0302	0.0279	0.023	21	4	24
TMEM117	2.14699	1.62232	0.001	0.2	4.39643	2.53493	0.776842	4.31077	0.0306	0.0356	0.0331	22	8	12
YY1AP1	1.29604	-2.30627	0.001	0.2	4.12561	-5	1	4.12561	0.031	0.0176	0.0176	4	1	9
C22orf39	2.04683	2.15423	0.001	0.2	3.53154	1.50788	1	3.53154	0.0311	0.1635	0.1635	3	3	14
RAI14	0.865821	2.2846	0.001	0.2	1.53459	5	0.336957	0.855943	0.0312	0.0997	0.218	25	3	6
KLHL4	1.23476	2.27169	0.001	0.2	2.59142	2.12205	1	2.59142	0.0319	0.0879	0.0879	11	1	6
LILRA5	1.09727	2.18955	0.001	0.2	2.29427	0.625496	1	2.29427	0.0326	0.033	0.0264	3	1	53
SHISA9	1.56944	-1.54313	0.001	0.2	8.18263	-5	1	8.18263	0.035	0.0031	0.0027	39	5	20
ATP11A	2.06826	1.75316	0.001	0.2	4.36132	1.60745	1	4.36132	0.0353	0.0624	0.0641	24	5	15
ZMAT5	0.866671	1.47953	0.001	0.2	3.76029	5	1	3.76029	0.0353	0.0353	0.0353	23	3	5
CLNK	1.62108	1.78374	0.001	0.2	3.65752	0.891778	1	3.65752	0.0358	0.0306	0.0339	36	3	38
MYO9B	0.776928	1.41956	0.001	0.2	2.86237	2.82392	0.807987	2.78239	0.0367	0.018	0.016	18	4	6
EVC	1.15475	1.86053	0.001	0.2	2.37244	1.19481	1	2.37244	0.0368	0.0655	0.0773	16	3	14
"ASTN2,TRIM32"	1.13241	2.2112	0.001	0.2	2.26775	1.04521	1	2.26775	0.0369	0.0299	0.0329	3	1	18
DSC3	1.87426	1.73156	0.001	0.2	4.14886	1.61972	1	4.14886	0.0386	0.0981	0.0989	39	6	15
DACH2	2.7508	1.71183	0.001	0.2	5.90999	0.862137	1	5.90999	0.0388	0.0416	0.0386	45	8	78
DPYD	1.27942	1.4006	0.001	0.2	2.52868	1.31328	1	2.52868	0.0392	0.0569	0.0542	56	8	13
MGMT	0.909785	1.62478	0.001	0.2	1.72296	1.45026	0.808427	1.69783	0.0394	0.0859	0.0778	40	5	13
PRKCA	1.60427	1.38655	0.001	0.2	1.73057	5	0.334382	2.55079	0.0405	0.1468	0.047	90	11	58
SH3RF1	1.42444	1.5033	0.001	0.2	2.49879	0.927401	1	2.49879	0.0406	0.1014	0.0924	20	5	26
TM4SF5	0.546788	1.75236	0.001	0.2	1.4813	1.08394	1	1.4813	0.0408	0.1172	0.1172	2	1	11
NRDE2	1.76365	1.81859	0.001	0.2	5.6356	5	1	5.6356	0.0412	0.0412	0.0412	11	3	5
SLC38A10	1.24166	1.90857	0.001	0.2	2.59998	1.49006	1	2.59998	0.0413	0.1441	0.1354	11	3	10
PLB1	2.63776	1.61038	0.001	0.2	4.68034	1.26018	1	4.68034	0.0414	0.0847	0.0896	103	9	25
ZNF69	0.983874	2.1161	0.001	0.2	2.10652	1.01823	1	2.10652	0.0415	0.0602	0.0658	1	1	17
UBR5	1.63935	1.77702	0.001	0.2	4.0612	2.04791	1	4.0612	0.0419	0.0322	0.0419	13	3	9
C4orf36	1.254	2.28267	0.001	0.2	2.42215	2.16165	1	2.42215	0.0428	0.0428	0.0395	1	1	5
SLC10A6	1.254	2.28267	0.001	0.2	2.42215	2.16165	1	2.42215	0.0428	0.0428	0.0395	4	1	5
SYNJ2	1.70799	1.75954	0.001	0.2	4.22957	2.01576	1	4.22957	0.043	0.1284	0.1362	19	4	10
ITGA6	0.638189	1.61737	0.001	0.2	1.13963	1.52496	0.901928	1.13655	0.0434	0.2473	0.2263	13	4	6
GOLGA6L2	1.77393	1.97153	0.001	0.2	4.24936	0.697705	1	4.24936	0.0437	0.0369	0.0351	9	3	73
DMXL1	1.51803	-1.99732	0.001	0.2	5.833	-5	1	5.833	0.0438	0.0197	0.0197	11	2	13
TMC2	1.47736	1.85721	0.001	0.2	2.57891	5	0.488801	1.72588	0.0439	0.1041	0.1009	23	5	10
GRID1	2.63868	1.73759	0.001	0.2	2.71956	1.35534	0.473252	2.34422	0.044	0.1945	0.1864	182	16	50
JMJD1C	1.76392	1.87591	0.001	0.2	5.23344	5	1	5.23344	0.0441	0.0441	0.0441	14	3	5
ZNF737	0.870846	-2.03642	0.001	0.2	2.41857	-1.19994	1	2.41857	0.0446	0.0402	0.0427	2	1	23
IL32	0.866678	2.03333	0.001	0.2	1.96822	0.848669	1	1.96822	0.0449	0.0449	0.0449	1	1	23
SYT15	0.887949	-2.04895	0.001	0.2	2.16245	-0.348527	1	2.16245	0.046	0.0386	0.0386	9	1	180
GPR173	1.41714	-1.92297	0.001	0.2	3.59809	-0.233909	1	3.59809	0.0462	0.0312	0.0312	6	2	661
MAGI2	1.18309	1.32315	0.001	0.2	1.42677	0.766571	0.993381	1.42676	0.0466	0.197	0.1725	107	13	21
MORN1	1.47259	1.78701	0.001	0.2	3.88478	1.21936	1	3.88478	0.0467	0.0733	0.0696	6	4	22
CEP78	0.908075	2.06739	0.001	0.2	1.82982	1.52237	1	1.82982	0.0483	0.1825	0.154	4	2	7
ASTN2	2.49467	1.78455	0.001	0.2	1.33585	5	0.211386	1.73269	0.0492	0.3381	0.2054	176	19	93
RNF212	0.993163	2.12234	0.001	0.2	2.1542	2.04842	1	2.1542	0.0494	0.0494	0.0494	6	1	5
SLC43A2	0.632772	1.83848	0.001	0.2	1.53763	1.46516	1	1.53763	0.0498	0.182	0.1512	9	1	6
SYN2	1.45701	2.07279	0.001	0.2	1.72305	2.28719	0.505118	1.10063	0.0499	0.1801	0.4294	14	4	9
CCDC33	1.40754	1.55212	0.001	0.2	5.04084	5	1	5.04084	0.0501	0.0501	0.0501	13	4	5
CD109	1.25947	1.67704	0.001	0.2	2.70157	1.59102	0.960944	2.7011	0.0503	0.0876	0.0661	14	6	10
CA10	0.852719	1.19514	0.001	0.2	2.79357	2.17715	1	2.79357	0.0506	0.0506	0.0506	30	5	6
TNS2	1.50268	1.95563	0.001	0.2	3.77578	2.79282	1	3.77578	0.0513	0.0565	0.0565	8	2	6
ITGBL1	1.24082	1.61635	0.001	0.2	3.03817	1.07863	1	3.03817	0.0516	0.0531	0.0531	33	3	23
CDH15	0.625063	1.83116	0.001	0.2	1.54728	1.51282	1	1.54728	0.0521	0.1863	0.1863	7	1	6
IGBP1	1.3173	2.0145	0.001	0.2	2.34441	0.946115	1	2.34441	0.0522	0.0948	0.0894	7	2	22
RRBP1	1.17027	1.48252	0.001	0.2	2.90325	1.57377	1	2.90325	0.0523	0.0959	0.0897	20	5	10
DNAH14	1.11606	1.29932	0.001	0.2	3.09444	5	0.747211	0.892524	0.0528	0.0424	0.2653	26	6	25
RNF125	1.66061	1.73565	0.001	0.2	4.19207	5	0.387596	4.52526	0.0528	0.0668	0.0665	23	5	13
FLYWCH1	1.75905	1.67481	0.001	0.2	4.52189	1.40179	1	4.52189	0.054	0.1117	0.1011	9	4	20
GULP1	1.72038	-1.45075	0.001	0.2	6.44479	-1.58038	1	6.44479	0.0544	0.0195	0.0172	21	6	38
FANCM	1.48074	1.48489	0.001	0.2	3.17469	1.11999	1	3.17469	0.0546	0.1203	0.1038	53	5	21
LTBP1	1.23866	2.49432	0.001	0.0800006	1.7699	1.25688	0.162574	0.970796	0.0555	0.1171	0.1878	222	16	132
PTK2B	0.998992	1.83746	0.001	0.2	1.78782	1.60213	1	1.78782	0.0559	0.288	0.288	13	3	6
ATP6V0D2	1.21597	1.81551	0.001	0.2	3.02615	1.83277	1	3.02615	0.0561	0.1952	0.1952	26	2	8
AGTPBP1	1.45251	1.90604	0.001	0.2	1.89978	2.45118	0.574814	1.93874	0.0569	0.1634	0.1277	16	3	21
SCFD2	1.50364	1.47331	0.001	0.2	4.46399	2.6184	1	4.46399	0.0571	0.0571	0.0571	31	5	7
CNTNAP3	1.13915	1.89598	0.001	0.2	2.24663	0.556496	1	2.24663	0.0578	0.0944	0.1039	8	2	64
RNF138	1.24195	1.59951	0.001	0.2	2.82222	1.75774	1	2.82222	0.0586	0.0765	0.062	16	4	9
BTN2A2	0.818252	-1.99667	0.001	0.2	3.20475	-5	1	3.20475	0.0587	0.0418	0.0418	10	1	8
NEURL1B	0.917304	1.66902	0.001	0.2	2.34133	1.69467	1	2.34133	0.0588	0.1795	0.1795	9	2	7
GLIS3	1.75345	1.34412	0.001	0.2	2.01406	1.11759	0.682783	1.90859	0.0589	0.184	0.1677	109	11	71
CCND3	1.91668	1.40989	0.001	0.2	3.10242	0.84744	1	3.10242	0.059	0.1076	0.096	105	10	36
ADGRE3	1.44351	1.59037	0.001	0.2	3.36178	5	0.745869	3.24142	0.059	0.059	0.059	12	5	6
CHST8	1.32393	2.11286	0.001	0.2	2.24961	5	0.316137	0.266017	0.0596	0.1099	0.5192	20	7	24
DDX19A	0.711225	-1.9093	0.001	0.2	2.09763	-1.14007	1	2.09763	0.06	0.06	0.06	3	1	21
OR11H6	0.922438	-2.07369	0.001	0.2	3.40209	-5	1	3.40209	0.0602	0.0318	0.0318	2	1	8
FGF14	1.08242	1.3185	0.001	0.2	2.80171	1.16845	1	2.80171	0.0603	0.0874	0.0679	75	9	19
NDRG2	1.00149	1.58724	0.001	0.2	2.28871	5	0.667736	2.16573	0.0609	0.0609	0.0609	7	4	5
DEPTOR	1.22992	1.5457	0.001	0.2	2.67569	1.36903	1	2.67569	0.0611	0.0706	0.0707	17	4	12
HIVEP2	0.894364	1.28684	0.001	0.2	2.88075	2.20822	1	2.88075	0.0615	0.0483	0.0483	19	4	6
PPARA	1.67488	1.54535	0.001	0.2	3.89583	1.60649	1	3.89583	0.0617	0.0821	0.067	49	6	13
SLCO4A1	1.86857	1.62038	0.001	0.2	4.1392	1.10564	1	4.1392	0.062	0.1146	0.115	39	6	28
TPD52L3	0.741203	1.93474	0.001	0.2	1.75502	1.72133	1	1.75502	0.0622	0.167	0.167	5	1	6
TBL1XR1	0.986726	1.76868	0.001	0.2	2.76879	2.5421	1	2.76879	0.0626	0.0626	0.0626	44	2	5
FMN2	1.72942	1.75924	0.001	0.2	4.62139	2.6665	1	4.62139	0.0628	0.0628	0.0628	79	4	7
MAGEB6	0.848513	2.01977	0.001	0.2	1.89158	1.75198	1	1.89158	0.0628	0.1711	0.1711	3	1	6
CTNNA3	1.77351	1.06721	0.001	0.2	0.532282	0.664575	0.376118	0.404766	0.0638	0.4102	0.4084	239	21	752
TUSC3	1.16034	-1.67351	0.001	0.2	5.59248	-5	1	5.59248	0.0638	0.0251	0.025	42	3	14
LRRC30	0.742441	-1.93578	0.001	0.2	2.30038	-1.79464	1	2.30038	0.0638	0.0515	0.0481	2	1	11
NCR2	0.695195	2.00966	0.001	0.2	1.30971	1.3459	1	1.30971	0.0639	0.2	0.2	15	3	8
USP18	1.62093	1.90476	0.001	0.2	3.4088	1.01478	1	3.4088	0.0643	0.105	0.0966	4	3	28
TTC23	0.854142	-2.024	0.001	0.2	3.34072	-5	1	3.34072	0.0648	0.0356	0.0356	15	1	9
GH2	0.776626	-1.9638	0.001	0.2	2.20931	-1.0206	1	2.20931	0.0649	0.0435	0.0435	1	1	28
PHLDB3	1.47518	1.71525	0.001	0.2	4.0262	2.49399	1	4.0262	0.0651	0.0651	0.0651	10	3	7
MAGI3	1.57098	1.78473	0.001	0.2	3.43675	1.4593	1	3.43675	0.0654	0.1225	0.1115	57	6	14
"CEP85L,PLN"	0.852369	2.02267	0.001	0.2	1.95154	1.15037	1	1.95154	0.0655	0.0655	0.0655	2	1	13
RHCE	1.20228	1.81146	0.001	0.2	3.00219	2.24067	1	3.00219	0.0664	0.0664	0.0664	2	2	6
NBR1	0.781594	1.96779	0.001	0.2	1.93001	1.4852	1	1.93001	0.0668	0.0326	0.0668	8	1	8
CHRNA7	0.598701	1.80555	0.001	0.2	1.57832	0.289977	1	1.57832	0.0684	0.084	0.084	70	1	168
TSPYL2	0.601512	-1.80832	0.001	0.2	1.63793	-0.18698	1	1.63793	0.0688	0.0298	0.0299	1	1	464
SYNM	0.927097	-2.07698	0.001	0.2	3.48705	-5	1	3.48705	0.0688	0.0334	0.0334	12	1	9
IGSF21	0.53728	-1.32726	0.001	0.2	2.29042	-1.18423	1	2.29042	0.069	0.0361	0.0378	15	3	21
TTC6	0.969127	-1.57428	0.001	0.2	3.439	-1.14093	1	3.439	0.0691	0.0159	0.0135	18	4	33
MTHFR	0.587125	1.00302	0.001	0.2	1.62728	1.14587	1	1.62728	0.0694	0.1346	0.1198	21	7	12
INSL6	0.623504	1.82967	0.001	0.2	1.60655	0.689234	1	1.60655	0.0697	0.0914	0.0894	2	1	28
OR6A2	0.716907	1.91418	0.001	0.2	1.73412	0.905886	1	1.73412	0.0699	0.0699	0.0699	1	1	18
NLRP2	1.0391	1.73172	0.001	0.2	2.76198	1.32434	1	2.76198	0.0701	0.1049	0.0976	9	2	14
STARD13	1.62394	1.59282	0.001	0.2	3.25573	5	0.580882	2.62235	0.0702	0.1439	0.2175	96	6	16
REPS2	1.36704	-1.68394	0.001	0.2	4.99905	-2.33112	1	4.99905	0.0704	0.0309	0.0309	5	3	17
DYNC2LI1	1.10466	-1.78936	0.001	0.2	4.81222	-5	1	4.81222	0.0716	0.0418	0.0418	15	2	11
PMS2	1.80979	1.58451	0.001	0.2	3.91294	1.1857	1	3.91294	0.0722	0.1234	0.1145	36	6	24
GRAP	0.579503	1.78632	0.001	0.2	1.48039	1.10083	1	1.48039	0.0724	0.176	0.144	1	1	10
KLK7	1.05471	1.73158	0.001	0.2	2.89331	1.5378	1	2.89331	0.0731	0.0717	0.0618	6	2	11
TECPR1	0.69585	2.04021	0.001	0.2	0.975418	1.56626	0.751425	0.948663	0.0733	0.3066	0.3066	24	2	5
STK31	1.22432	1.65508	0.001	0.2	3.35212	2.3827	1	3.35212	0.0737	0.0737	0.0737	18	3	6
CEP164	0.949246	1.64627	0.001	0.2	1.59678	5	0.573761	1.45881	0.0743	0.1325	0.1769	10	3	8
NQO1	1.06526	2.0189	0.001	0.2	2.01637	2.36622	0.613885	1.97671	0.0744	0.279	0.2783	16	4	8
CYP2C8	1.19626	1.71682	0.001	0.2	2.55895	0.891751	1	2.55895	0.0745	0.1224	0.1271	27	3	27
SLC2A5	0.93782	1.67469	0.001	0.2	2.59457	1.36713	1	2.59457	0.0748	0.0672	0.0672	18	2	12
ARGFX	0.402607	1.57964	0.001	0.2	1.18767	0.900554	1	1.18767	0.0749	0.1324	0.1207	3	1	12
FBXO40	0.402607	1.57964	0.001	0.2	1.18767	0.900554	1	1.18767	0.0749	0.1324	0.1207	8	1	12
NRXN3	1.1146	1.10515	0.001	0.2	2.18586	0.831765	1	2.18586	0.0754	0.1387	0.1129	157	15	29
SLC19A1	0.783401	1.87766	0.001	0.2	1.65334	0.991044	1	1.65334	0.0761	0.2035	0.1846	12	3	14
ABCA7	0.975321	-1.71289	0.001	0.2	4.07518	-5	1	4.07518	0.0763	0.0763	0.0763	5	2	7
PAPOLG	0.503385	1.70469	0.001	0.2	1.30336	1.57433	1	1.30336	0.0763	0.2299	0.3161	5	1	5
SRRM4	1.39726	1.43219	0.001	0.2	3.08272	0.92775	1	3.08272	0.0765	0.1247	0.1162	15	5	31
OCEL1	1.3382	-1.56323	0.001	0.2	5.51518	-2.37444	1	5.51518	0.0769	0.0346	0.0346	8	4	20
KRT6C	1.39305	2.02333	0.001	0.2	1.53971	0.338406	1	1.53971	0.0771	0.2489	0.2538	3	3	117
ALK	0.873028	1.32059	0.001	0.2	1.97827	1.3023	1	1.97827	0.0776	0.1065	0.13	63	7	10
SLC7A5	0.669484	1.87243	0.001	0.2	1.62521	1.19208	1	1.62521	0.0779	0.0779	0.0779	30	1	10
GMDS	1.68861	-1.20122	0.001	0.2	6.33355	-1.34054	1	6.33355	0.0781	0.0183	0.0121	125	15	50
DFNA5	1.10677	1.58084	0.001	0.2	4.30036	5	1	4.30036	0.0786	0.0786	0.0786	10	3	5
SASH1	0.756095	1.33666	0.001	0.2	2.24627	1.88116	1	2.24627	0.0789	0.0849	0.0789	49	3	6
PRKCH	0.781717	-1.08221	0.001	0.2	5.05703	-5	1	5.05703	0.0796	0.0272	0.0264	46	6	12
VPS13A	1.03306	1.38566	0.001	0.2	4.36732	5	1	4.36732	0.0802	0.0802	0.0802	11	4	5
FBN3	0.791694	1.67363	0.001	0.2	2.49645	2.5097	1	2.49645	0.0803	0.0803	0.0803	21	2	5
ATF7IP2	1.26669	1.73826	0.001	0.2	2.2204	1.47158	0.657422	1.78038	0.0805	0.1599	0.2103	13	5	19
LYPLAL1	1.09636	1.55162	0.001	0.2	2.61016	1.51502	1	2.61016	0.0806	0.1246	0.1042	9	3	10
HIPK3	0.609383	1.81603	0.001	0.2	1.53425	0.810592	1	1.53425	0.0811	0.0696	0.0726	14	1	20
MID1	1.84935	1.31082	0.001	0.2	2.8027	0.920515	0.837272	2.98842	0.0816	0.1438	0.0991	34	9	97
AKR1B1	0.961896	2.05065	0.001	0.2	2.0273	0.908244	1	2.0273	0.082	0.1401	0.147	3	2	21
STARD9	1.2631	1.39662	0.001	0.2	2.37198	4.28917	0.500804	1.32352	0.082	0.1946	0.2326	58	8	17
H6PD	1.42948	-1.72151	0.001	0.2	2.7846	-1.07235	0.638283	1.80178	0.0821	0.0762	0.1575	8	4	231
TNRC6B	1.10986	1.55197	0.001	0.2	2.59843	1.71807	1	2.59843	0.0821	0.1468	0.1468	38	4	8
ZNF700	0.659841	1.86366	0.001	0.2	1.64018	0.870741	1	1.64018	0.0824	0.0824	0.0824	2	1	18
