Gene	AMLstat	factor1	factor2	alpha	ProbStat	ProbFactor	ProbAlpha	CMATstat	AMLpvalue	Probpvalue	CMATpvalue	NumValidSNPs	NumIndepSNPs	TotalRareAlleles
FAM184B	2.56525	2.86782	0.001	0.2	4.86831	5	1	4.86831	0.0074	0.0074	0.0074	13	1	5
PLEKHG3	2.72351	2.13169	0.001	0.2	6.0702	2.20359	1	6.0702	0.0074	0.012	0.012	20	3	14
PFKP	2.61672	2.66657	0.001	0.2	5.03046	1.19606	1	5.03046	0.0077	0.0114	0.0111	28	2	33
ZNF630	1.96372	-2.62871	0.001	0.2	-0.105361	-5	0.1	-18.4207	0.0078	1	1	16	1	572
EEPD1	1.55042	1.76944	0.001	0.2	6.36394	5	1	6.36394	0.0079	0.0079	0.0079	36	3	5
DYNC2LI1	2.23326	-2.22317	0.001	0.2	6.85026	-5	1	6.85026	0.0079	0.0063	0.0063	15	2	11
TTLL2	2.05831	2.66871	0.001	0.2	3.78136	1.84508	1	3.78136	0.0079	0.0084	0.0094	2	1	12
UBR5	2.42588	1.89888	0.001	0.2	6.63253	2.48035	1	6.63253	0.0083	0.0078	0.0078	16	4	12
DCDC2	4.84339	-1.91818	0.0585679	0.2	9.18521	-0.856408	0.532024	7.42987	0.0093	0.0038	0.0068	100	23	260
SYNM	1.96431	-2.62897	0.001	0.2	5.06478	-5	1	5.06478	0.011	0.0055	0.0055	12	1	9
CRACR2A	1.13803	1.68934	0.001	0.2	3.2529	5	0.689127	2.96058	0.0112	0.0239	0.0461	19	4	8
HAS3	3.03281	2.42305	0.001	0.2	5.64784	1.42752	1	5.64784	0.0113	0.0144	0.0144	9	2	25
RAB39A	1.93594	2.61676	0.001	0.2	3.48745	1.26764	1	3.48745	0.0117	0.0117	0.0117	3	1	21
TTC23	1.65428	-2.48945	0.001	0.2	4.65808	-5	1	4.65808	0.0129	0.0089	0.0089	15	1	9
GH2	1.59217	-2.45965	0.001	0.2	3.29209	-1.08503	1	3.29209	0.0129	0.0129	0.0129	1	1	30
TRAP1	1.873	-2.00542	0.001	0.2	4.44826	-0.909011	1	4.44826	0.0129	0.0075	0.0083	6	3	54
ANKK1	3.28592	2.24188	0.001	0.2	5.88675	0.954745	1	5.88675	0.013	0.0224	0.022	12	4	55
CASKIN2	1.79784	2.55582	0.001	0.2	4.13289	5	1	4.13289	0.0131	0.0131	0.0131	3	1	5
ZNF286A	1.55224	2.4401	0.001	0.2	2.94938	0.732258	1	2.94938	0.0134	0.0134	0.0134	3	1	49
EVC2	2.41285	2.34695	0.001	0.2	6.87696	5	1	6.87696	0.0135	0.0135	0.0135	34	2	10
RORA	2.38934	1.52587	0.001	0.2	6.6526	1.76461	1	6.6526	0.0135	0.0134	0.0102	69	7	22
REPS2	3.27235	-2.01835	0.001	0.2	8.32582	-2.02621	1	8.32582	0.0137	0.0127	0.0127	5	4	25
TAF3	1.04352	1.28817	0.001	0.2	4.89548	5	1	4.89548	0.0139	0.0139	0.0139	10	5	6
ARHGAP24	2.54875	1.57645	0.001	0.2	8.06646	2.0299	1	8.06646	0.0139	0.0079	0.0078	60	8	24
CEACAM6	1.86182	2.58438	0.001	0.2	3.75496	1.73813	1	3.75496	0.0141	0.0082	0.0082	7	1	15
ARVCF	2.08694	1.93285	0.001	0.2	4.56325	1.79379	1	4.56325	0.0142	0.0198	0.0288	20	3	13
STX8	2.18479	-1.63137	0.001	0.2	5.68165	-1.50445	1	5.68165	0.0146	0.0221	0.02	41	6	25
CHIC1	1.96329	2.62853	0.001	0.2	3.37599	1.25548	1	3.37599	0.0149	0.01	0.014	5	1	20
ITGBL1	2.33232	1.83275	0.001	0.2	5.11422	1.21971	1	5.11422	0.0156	0.0203	0.0138	38	4	32
SPTB	1.29623	1.74912	0.001	0.2	3.89865	2.39718	1	3.89865	0.0162	0.0364	0.0364	9	3	8
MTR	3.09146	1.67453	0.001	0.2	8.08002	3.16596	0.771908	6.27132	0.0163	0.0216	0.0615	250	9	24
HNRNPCL2	1.32076	-2.31991	0.001	0.2	2.75478	-0.588063	1	2.75478	0.0168	0.0153	0.0191	1	1	73
SHISA9	2.27024	-1.6734	0.001	0.2	7.10957	-1.71581	1	7.10957	0.0169	0.008	0.0057	43	7	29
MACROD2	3.90537	-1.16606	0.001	0.2	3.80469	-5	0.311391	4.46719	0.0183	0.0657	0.0479	189	32	840
VCL	1.40136	1.73683	0.001	0.2	5.51203	5	1	5.51203	0.0189	0.0189	0.0189	9	3	8
CMTM8	1.64119	2.48323	0.001	0.2	3.22572	2.61592	1	3.22572	0.019	0.019	0.019	33	1	6
HSD17B2	2.6876	1.83394	0.001	0.2	6.14038	5	0.774191	5.70237	0.0191	0.0309	0.0533	17	5	16
LILRA5	1.39523	2.35997	0.001	0.2	2.77764	0.616508	1	2.77764	0.0194	0.0179	0.0157	3	1	66
C14orf177	1.32641	-2.323	0.001	0.2	2.71529	-0.309487	1	2.71529	0.0197	0.0197	0.0197	1	1	255
CCDC85A	1.78525	1.67997	0.001	0.2	3.71517	2.54021	0.746905	3.32206	0.0205	0.0445	0.0748	42	5	17
OR4B1	1.20244	2.25298	0.001	0.2	2.62383	1.24407	1	2.62383	0.0209	0.0411	0.0411	4	1	16
NQO1	1.3052	1.92838	0.001	0.2	2.62571	1.75036	1	2.62571	0.0213	0.0811	0.0871	16	3	10
DNASE1	1.39236	-2.35846	0.001	0.2	2.91385	-0.789264	1	2.91385	0.0213	0.0181	0.0137	1	1	46
ARL13A	1.33125	2.00507	0.001	0.2	3.16369	1.21239	1	3.16369	0.0225	0.0196	0.0158	3	2	20
BTN2A2	1.47269	-2.40019	0.001	0.2	4.29518	-5	1	4.29518	0.0229	0.0136	0.0136	10	1	8
ABCA7	1.90384	-2.14637	0.001	0.2	5.56569	-5	1	5.56569	0.0231	0.0231	0.0231	5	2	7
CLK4	1.47058	2.39911	0.001	0.2	3.79013	5	1	3.79013	0.0233	0.0233	0.0233	2	1	5
FAM129A	1.13399	1.91473	0.001	0.2	4.11747	5	1	4.11747	0.0238	0.0238	0.0238	18	2	6
LSP1	3.11498	2.25758	0.001	0.2	5.95949	0.790311	0.797574	5.87844	0.0241	0.0323	0.0303	38	11	101
TUSC3	1.63701	-1.9359	0.001	0.2	5.16064	-2.41433	1	5.16064	0.0243	0.0126	0.0099	42	3	15
KLHL4	1.60259	2.4647	0.001	0.2	3.2813	2.20462	1	3.2813	0.0245	0.0245	0.0245	11	1	8
PACSIN1	1.89995	1.87688	0.001	0.2	3.92782	1.64814	1	3.92782	0.0254	0.0617	0.0343	44	4	14
Sep-14	1.60199	-2.18533	0.001	0.2	3.21475	-1.27033	1	3.21475	0.0254	0.0393	0.0351	9	2	22
YIF1B	2.35159	2.34877	0.001	0.2	4.9941	0.989055	1	4.9941	0.0255	0.0233	0.0237	10	3	44
RARB	1.52453	1.39377	0.001	0.2	3.19064	1.15028	1	3.19064	0.026	0.0622	0.0545	53	10	22
C16orf95	1.73028	-2.09654	0.001	0.2	5.52805	-5	1	5.52805	0.0265	0.0265	0.0265	5	2	8
STAB1	1.8873	1.92415	0.001	0.2	6.13826	5	1	6.13826	0.0268	0.0268	0.0268	10	3	7
LILRB5	1.12078	2.20409	0.001	0.2	2.41477	0.480123	1	2.41477	0.0272	0.0269	0.024	9	1	92
BRI3	1.73723	-2.03871	0.001	0.2	5.12948	-2.36903	1	5.12948	0.0289	0.0225	0.0225	11	2	16
ABR	3.58151	-1.78777	0.001	0.2	8.00637	-0.475084	1	8.00637	0.0292	0.0094	0.0058	153	13	325
PPP2R1B	1.48344	-2.40567	0.001	0.2	4.00868	-5	1	4.00868	0.0295	0.0295	0.0295	8	1	6
OR4C3	0.976525	2.11113	0.001	0.2	2.28703	1.07781	1	2.28703	0.0298	0.0298	0.0298	1	1	18
AGAP1	2.40373	1.62543	0.001	0.2	3.03237	1.93967	0.408358	1.80637	0.0301	0.1205	0.1814	97	15	51
RMND1	1.16869	1.62307	0.001	0.2	3.11634	5	0.708607	2.84846	0.0304	0.0845	0.0845	19	4	7
VRK3	1.32058	-2.3198	0.001	0.2	3.78577	-5	1	3.78577	0.0306	0.0306	0.0306	4	1	6
FMN2	1.81647	1.5207	0.001	0.2	5.721	2.62147	1	5.721	0.031	0.0718	0.0718	79	6	11
NBR1	1.11769	2.20219	0.001	0.2	2.61181	1.59266	1	2.61181	0.0314	0.0239	0.0304	8	1	11
CACNA2D3	1.4587	1.10266	0.001	0.2	5.42804	1.65861	1	5.42804	0.0318	0.0209	0.0255	82	12	21
TANGO2	1.18854	1.57726	0.001	0.2	1.37611	5	0.56768	2.12263	0.0319	0.2417	0.0515	12	3	43
RAC1	1.92659	-1.86363	0.001	0.2	7.43932	-5	1	7.43932	0.032	0.0138	0.0138	10	3	13
MAGI2	1.3509	1.1579	0.001	0.2	2.01986	2.87433	0.413893	1.89771	0.0321	0.1045	0.0832	148	16	26
NAALADL2	1.57933	1.22207	0.001	0.2	2.85119	0.728145	1	2.85119	0.0322	0.0679	0.0492	127	12	47
KCNMA1	1.11197	1.26809	0.001	0.2	3.63647	1.83394	1	3.63647	0.0328	0.0224	0.0212	25	6	11
APCS	1.10088	-2.1918	0.001	0.2	3.48441	-5	1	3.48441	0.0333	0.0333	0.0333	1	1	6
OR10J5	1.10088	-2.1918	0.001	0.2	3.48441	-5	1	3.48441	0.0333	0.0333	0.0333	1	1	6
LILRA3	1.07562	2.17596	0.001	0.2	2.36522	0.612295	1	2.36522	0.0333	0.0301	0.0273	2	1	57
PSG9	0.930755	2.07955	0.001	0.2	2.14821	0.490471	1	2.14821	0.0339	0.033	0.0371	4	1	75
SDK1	2.85528	1.90341	0.001	0.2	2.64147	0.920909	0.454586	2.61009	0.034	0.1347	0.1164	139	11	130
ABCG5	1.17041	-2.23409	0.001	0.2	3.58435	-5	1	3.58435	0.0344	0.0344	0.0344	3	1	6
"ABCG5,DYNC2LI1"	1.17041	-2.23409	0.001	0.2	3.58435	-5	1	3.58435	0.0344	0.0344	0.0344	5	1	6
GAREM1	1.14568	1.08982	0.001	0.2	4.42633	1.63747	1	4.42633	0.0345	0.0259	0.0234	38	8	18
BCKDHB	1.45032	1.79691	0.001	0.2	4.32114	2.09785	1	4.32114	0.0352	0.0352	0.0352	20	3	12
RFX6	2.05788	1.53851	0.001	0.2	6.84591	3.08485	1	6.84591	0.0354	0.0354	0.0354	99	6	10
PHYH	1.18959	1.85147	0.001	0.2	4.05088	5	1	4.05088	0.0356	0.0356	0.0356	10	2	5
SLC43A2	1.28026	2.29747	0.001	0.2	2.63528	1.6491	1	2.63528	0.0359	0.0359	0.0297	9	1	9
ZNF713	1.00632	-2.13111	0.001	0.2	3.3379	-5	1	3.3379	0.036	0.036	0.036	4	1	6
GREB1	0.818037	1.98274	0.001	0.2	1.76505	1.48161	1	1.76505	0.0362	0.1043	0.0915	5	2	7
PEPD	1.62599	1.67342	0.001	0.2	4.27106	1.24967	1	4.27106	0.037	0.0531	0.0476	81	5	25
ZNF846	1.18737	1.91081	0.001	0.2	3.16249	1.72193	1	3.16249	0.0372	0.0372	0.0372	5	2	11
ZNF737	0.977637	-2.11188	0.001	0.2	2.44013	-1.02649	1	2.44013	0.0375	0.0284	0.0308	2	1	25
KLF5	1.11446	1.40445	0.001	0.2	4.87217	5	1	4.87217	0.0379	0.0379	0.0379	12	4	6
MTHFR	1.45207	1.43209	0.001	0.2	3.48644	1.44656	1	3.48644	0.0382	0.0913	0.089	80	6	16
RYR2	1.20259	1.72169	0.001	0.2	2.51895	1.14543	1	2.51895	0.0383	0.0777	0.0743	159	3	17
C8orf34	2.00755	1.64757	0.001	0.2	6.06283	1.97558	1	6.06283	0.0385	0.0571	0.0524	63	6	19
UBE2R2	1.25062	1.72027	0.001	0.2	3.30424	2.26868	1	3.30424	0.0386	0.1057	0.1355	7	3	7
TRIOBP	0.97424	2.10958	0.001	0.2	2.32444	2.391	1	2.32444	0.0398	0.1168	0.1262	6	1	5
PRKCH	0.963881	-1.23342	0.001	0.2	4.00237	-2.25489	1	4.00237	0.0398	0.0382	0.0348	46	6	13
GSTM3	1.2431	1.97188	0.001	0.2	4.07082	5	1	4.07082	0.0399	0.0399	0.0399	15	2	5
GPR39	0.870269	2.17895	0.001	0.2	1.79862	0.846916	1	1.79862	0.0401	0.0907	0.0987	32	2	23
USP34	1.16346	-1.91967	0.001	0.2	3.95938	-5	1	3.95938	0.0402	0.0402	0.0402	27	2	5
CREM	1.40407	-1.9898	0.001	0.2	4.08189	-2.2469	1	4.08189	0.0411	0.0496	0.0496	4	2	14
Sep-14	1.11051	-2.19776	0.001	0.2	3.62675	-5	1	3.62675	0.0412	0.0231	0.0231	1	1	7
C1orf158	0.957958	-2.09845	0.001	0.2	2.53611	-1.91305	1	2.53611	0.0416	0.0446	0.0404	3	1	9
PRAMEF12	0.957958	-2.09845	0.001	0.2	2.53611	-1.91305	1	2.53611	0.0416	0.0446	0.0404	1	1	9
ABO	1.48892	1.96388	0.001	0.2	3.61093	1.496	1	3.61093	0.0417	0.0337	0.0337	17	2	15
SLC22A1	0.980461	1.36271	0.001	0.2	4.54244	5	1	4.54244	0.042	0.042	0.042	12	4	6
TNS2	1.31332	1.90373	0.001	0.2	3.71275	2.65883	1	3.71275	0.042	0.042	0.042	8	2	7
TNRC6B	1.37117	1.41942	0.001	0.2	4.41369	1.89784	1	4.41369	0.042	0.0365	0.0388	43	6	14
GALNT11	0.914782	2.06826	0.001	0.2	2.3655	1.99618	1	2.3655	0.0437	0.0437	0.0437	6	1	8
CAND2	1.21861	1.90496	0.001	0.2	3.09711	1.01336	1	3.09711	0.0439	0.0171	0.0255	11	2	26
KIAA2026	1.12615	-1.54368	0.001	0.2	5.50312	-5	1	5.50312	0.0446	0.0094	0.0094	13	4	10
OR11H6	0.833451	-2.00835	0.001	0.2	2.36015	-1.87056	1	2.36015	0.0451	0.0451	0.0451	2	1	9
OR4C45	0.771263	1.95947	0.001	0.2	1.95705	1.01693	1	1.95705	0.0457	0.0457	0.0457	1	1	17
FBN3	1.56832	1.63484	0.001	0.2	5.41958	2.43365	1	5.41958	0.0462	0.0173	0.0338	21	4	13
TRIM32	1.13099	2.21034	0.001	0.2	2.40578	0.975398	1	2.40578	0.0463	0.042	0.0389	3	1	22
CRISPLD2	1.19584	2.24911	0.001	0.2	2.68926	2.07436	1	2.68926	0.0465	0.0373	0.0465	23	1	7
OR6A2	0.852912	2.02307	0.001	0.2	2.03461	0.898265	1	2.03461	0.0465	0.0465	0.0465	1	1	22
ACOXL	1.23337	-2.27089	0.001	0.2	3.82125	-5	1	3.82125	0.0467	0.023	0.023	75	1	7
ZZEF1	1.65752	1.79776	0.001	0.2	3.13224	1.17636	1	3.13224	0.0472	0.0674	0.0769	25	4	21
PPARA	1.91211	1.46163	0.001	0.2	4.63121	1.58392	1	4.63121	0.0485	0.1109	0.0803	50	8	17
OR13H1	0.896855	2.05541	0.001	0.2	2.11695	0.913912	1	2.11695	0.0493	0.0493	0.0493	2	1	25
HIVEP2	0.831229	1.15313	0.001	0.2	2.92477	2.14559	1	2.92477	0.0499	0.0781	0.0781	21	5	7
DDX19A	0.964832	-2.10317	0.001	0.2	2.38366	-1.03255	1	2.38366	0.0499	0.0341	0.0341	3	1	23
PRTG	0.970706	1.49083	0.001	0.2	3.95314	5	1	3.95314	0.0504	0.0504	0.0504	10	3	5
TMEM117	1.4438	1.45264	0.001	0.2	3.35075	2.38424	0.723698	3.2402	0.0512	0.0849	0.071	22	8	13
SMYD4	0.774754	-1.96229	0.001	0.2	2.11541	-1.86069	1	2.11541	0.0515	0.0636	0.0275	9	1	7
DSC3	1.68997	1.53095	0.001	0.2	4.80308	1.58566	1	4.80308	0.0522	0.091	0.0881	39	7	20
BRCA2	2.02656	1.21221	0.001	0.2	4.13485	0.741351	1	4.13485	0.0524	0.058	0.0479	158	30	65
ACTR1B	1.18618	-1.89686	0.001	0.2	1.40799	-1.98447	0.469444	2.23677	0.0527	0.1433	0.0732	2	2	47
POU6F2	1.68085	1.64677	0.001	0.2	4.98688	2.93544	1	4.98688	0.0538	0.061	0.061	50	4	7
TPD52L3	0.855376	2.02492	0.001	0.2	2.11383	1.68599	1	2.11383	0.0541	0.0541	0.0541	5	1	8
MCTP1	0.67156	2.15797	0.001	0.2	1.06553	5	0.326553	0.501071	0.0544	0.1647	0.3555	13	3	5
CAPS2	1.21234	1.81454	0.001	0.2	3.15316	2.22007	1	3.15316	0.0544	0.1159	0.1159	8	2	7
"ANGPT2,MCPH1"	0.934834	2.08241	0.001	0.2	2.2275	1.42349	1	2.2275	0.0546	0.0365	0.0546	18	1	11
ATXN1	1.38481	-1.2231	0.001	0.2	0.35343	-5	0.362133	3.93757	0.0548	0.4633	0.0368	46	9	188
NASP	1.4397	1.92285	0.001	0.2	3.63057	2.66982	1	3.63057	0.0551	0.0551	0.0551	2	2	6
FANCM	1.54928	1.58493	0.001	0.2	4.18808	1.14947	1	4.18808	0.056	0.0514	0.0416	53	4	29
KCNN3	1.0349	1.30437	0.001	0.2	3.7481	1.78761	1	3.7481	0.0566	0.0367	0.0316	26	5	13
VPS13B	1.6279	1.59187	0.001	0.2	3.96258	1.01667	1	3.96258	0.0566	0.0587	0.0552	31	5	34
SLC2A5	0.765286	1.95461	0.001	0.2	1.92524	1.25575	1	1.92524	0.0571	0.0571	0.0571	18	1	11
NLRP2	1.32895	1.88565	0.001	0.2	3.40102	1.32421	1	3.40102	0.0575	0.0518	0.0626	9	2	19
ZFPM2	1.19498	-1.6171	0.001	0.2	4.1637	-2.27089	1	4.1637	0.0579	0.0518	0.0518	70	3	14
RBFOX2	1.18606	-1.51667	0.001	0.2	5.38493	-5	1	5.38493	0.058	0.058	0.058	11	4	8
TNIP1	0.916978	-1.74627	0.001	0.2	3.55241	-5	1	3.55241	0.0585	0.0585	0.0585	7	2	5
COTL1	0.82187	1.61431	0.001	0.2	2.38388	1.36672	1	2.38388	0.0596	0.1188	0.0997	18	2	13
"ASTN2,TRIM32"	0.875006	2.03948	0.001	0.2	2.04147	0.916116	1	2.04147	0.0598	0.0699	0.0638	3	1	21
ARMC9	0.627997	1.36341	0.001	0.2	1.67819	5	0.635239	1.36966	0.0601	0.1603	0.2676	11	4	5
MGAT4C	1.83785	1.46181	0.001	0.2	3.40425	1.38922	0.681131	2.01165	0.0601	0.085	0.161	47	11	51
STK32B	1.38757	2.37795	0.001	0.2	2.02597	2.62574	0.342058	1.21627	0.0603	0.1104	0.2284	89	3	41
ESR1	1.25287	0.937294	0.001	0.2	2.89131	0.729214	1	2.89131	0.0621	0.0709	0.0573	131	26	48
MYO9B	0.521102	1.22465	0.001	0.2	2.15331	2.62874	0.770911	2.06487	0.0627	0.1239	0.1265	18	4	6
H6PD	2.06056	-1.89065	0.001	0.2	3.60743	-0.961228	0.656933	3.01887	0.0633	0.062	0.0634	8	5	266
MAGEB6	0.820901	1.99872	0.001	0.2	2.07828	1.67173	1	2.07828	0.0634	0.0314	0.0218	3	1	8
CALN1	1.83141	-1.53436	0.001	0.2	5.05356	-0.630276	1	5.05356	0.0638	0.0169	0.0072	72	7	124
SAGE1	0.715998	1.9134	0.001	0.2	1.80828	0.566882	1	1.80828	0.0639	0.0639	0.0699	4	1	49
AMER3	0.822399	-1.99987	0.001	0.2	2.17731	-1.45179	1	2.17731	0.0645	0.0349	0.0435	2	1	11
ZFP90	0.842104	1.20035	0.001	0.2	2.90448	2.15058	1	2.90448	0.0647	0.0967	0.1104	28	5	7
FAM220A	1.20737	-1.82836	0.001	0.2	3.78399	-2.18178	1	3.78399	0.0647	0.0417	0.0492	5	2	12
MAP3K1	1.26589	1.67063	0.001	0.2	3.84685	3.2292	0.556153	3.45809	0.0654	0.0606	0.093	47	7	17
SIGLEC11	0.839148	-2.01269	0.001	0.2	2.92781	-5	1	2.92781	0.0655	0.0655	0.0655	1	1	5
CHRFAM7A	0.753835	-1.94523	0.001	0.2	2.06642	-1.41809	1	2.06642	0.0656	0.0656	0.0618	1	1	11
ALS2CR12	1.50101	1.68818	0.001	0.2	3.57997	1.20398	1	3.57997	0.0657	0.0774	0.065	39	5	21
PPP4R3CP	0.882394	-2.0449	0.001	0.2	3.00735	-5	1	3.00735	0.0663	0.0663	0.0663	1	1	5
MMP25	1.00072	1.73111	0.001	0.2	2.67056	0.843687	1	2.67056	0.0667	0.0341	0.034	3	2	33
"NPY4R,NPY4R2"	0.583115	-1.78998	0.001	0.2	1.60593	-0.250619	1	1.60593	0.0669	0.0669	0.0669	2	1	225
PIK3C2B	0.734196	1.30857	0.001	0.2	2.07384	1.90099	1	2.07384	0.067	0.219	0.219	17	4	6
BMP15	1.02304	2.14213	0.001	0.2	2.57644	1.98068	1	2.57644	0.067	0.064	0.0534	11	1	8
MMD2	0.74074	-1.93436	0.001	0.2	2.03538	-1.1979	1	2.03538	0.0674	0.0565	0.0686	9	1	17
ALDOA	0.679402	1.88135	0.001	0.2	1.74361	0.881811	1	1.74361	0.0674	0.1024	0.1024	1	1	19
CDIPT	0.679402	1.88135	0.001	0.2	1.74361	0.881811	1	1.74361	0.0674	0.1024	0.1024	1	1	19
HIRIP3	0.679402	1.88135	0.001	0.2	1.74361	0.881811	1	1.74361	0.0674	0.1024	0.1024	1	1	19
INO80E	0.679402	1.88135	0.001	0.2	1.74361	0.881811	1	1.74361	0.0674	0.1024	0.1024	4	1	19
KCTD13	0.679402	1.88135	0.001	0.2	1.74361	0.881811	1	1.74361	0.0674	0.1024	0.1024	2	1	19
MVP	0.679402	1.88135	0.001	0.2	1.74361	0.881811	1	1.74361	0.0674	0.1024	0.1024	2	1	19
PAGR1	0.679402	1.88135	0.001	0.2	1.74361	0.881811	1	1.74361	0.0674	0.1024	0.1024	2	1	19
PRRT2	0.679402	1.88135	0.001	0.2	1.74361	0.881811	1	1.74361	0.0674	0.1024	0.1024	1	1	19
SEZ6L2	0.679402	1.88135	0.001	0.2	1.74361	0.881811	1	1.74361	0.0674	0.1024	0.1024	1	1	19
TAOK2	0.679402	1.88135	0.001	0.2	1.74361	0.881811	1	1.74361	0.0674	0.1024	0.1024	2	1	19
TMEM219	0.679402	1.88135	0.001	0.2	1.74361	0.881811	1	1.74361	0.0674	0.1024	0.1024	2	1	19
LGR6	1.25999	-1.457	0.001	0.2	5.21218	-2.37737	1	5.21218	0.0676	0.0246	0.0233	95	5	17
SH3RF1	1.19057	1.35076	0.001	0.2	2.15848	0.791752	1	2.15848	0.0678	0.1226	0.1279	20	5	31
COBLL1	0.719745	-1.57551	0.001	0.2	2.19011	-1.12333	1	2.19011	0.0679	0.0592	0.0623	22	2	17
LILRB2	0.617112	1.82352	0.001	0.2	1.65446	0.589632	1	1.65446	0.0679	0.0735	0.0764	3	1	42
MYBPC3	0.895453	1.29685	0.001	0.2	4.07561	5	1	4.07561	0.068	0.068	0.068	11	4	5
SLC22A3	1.51016	-1.12279	0.001	0.2	6.16719	-1.7898	1	6.16719	0.068	0.0293	0.0282	73	12	26
THSD7B	1.60878	1.72446	0.001	0.2	1.93703	1.05813	0.548543	1.60287	0.0682	0.1743	0.2189	118	8	53
SEMA6D	2.24928	1.45568	0.001	0.2	3.09834	0.639078	1	3.09834	0.0694	0.1861	0.1717	148	14	71
TANC1	1.53504	1.72334	0.001	0.2	3.56493	2.34024	1	3.56493	0.0699	0.1073	0.1073	32	4	7
ARHGAP45	1.10424	-1.55332	0.001	0.2	4.32266	-5	1	4.32266	0.0706	0.0706	0.0706	10	3	5
GOLGA6L2	1.36812	1.75428	0.001	0.2	3.8149	0.607199	1	3.8149	0.0706	0.0432	0.0396	9	3	85
IGSF21	0.574776	-1.29885	0.001	0.2	2.08458	-0.916524	1	2.08458	0.071	0.0552	0.059	15	3	24
SFTPD	0.531295	-1.73571	0.001	0.2	1.63811	-1.08679	1	1.63811	0.0711	0.0812	0.0904	16	1	18
DMXL1	1.23268	-1.93143	0.001	0.2	3.61501	-1.73095	1	3.61501	0.0713	0.0642	0.0642	11	2	15
TIMM23B	1.05446	-2.08502	0.001	0.2	2.99845	-0.938665	1	2.99845	0.0714	0.0401	0.0403	64	3	35
ZMIZ1	1.36101	-1.08414	0.001	0.2	4.51293	-0.977206	1	4.51293	0.0716	0.0341	0.0341	67	15	47
TCFL5	1.52436	-1.73161	0.001	0.2	4.12446	-2.11509	0.86003	4.05098	0.0725	0.1015	0.1015	12	5	16
SYN1	1.22755	-1.62753	0.001	0.2	3.58224	-1.30536	1	3.58224	0.0727	0.077	0.0761	5	4	28
DLGAP2	1.83729	1.35837	0.001	0.2	3.76973	0.864592	1	3.76973	0.0737	0.088	0.0765	108	11	43
SDCCAG3	0.748327	-1.94067	0.001	0.2	2.81793	-5	1	2.81793	0.074	0.074	0.074	2	1	6
ATP11A	1.05912	1.53577	0.001	0.2	3.26392	1.33022	1	3.26392	0.074	0.0339	0.0501	24	3	18
SNAPC4	0.736234	-1.93058	0.001	0.2	2.75211	-5	1	2.75211	0.0741	0.0741	0.0741	3	1	5
RPH3A	0.715724	1.16633	0.001	0.2	1.8178	5	0.554593	1.71475	0.0745	0.1322	0.1497	35	7	8
